Type,Ville,adresse,Latitude,Longitude,source (lien),jour de la semaine,heure debut,heure fin,commentaire
Mixte,PUISEAUX,halle et place du Martroi,48.204694,2.471177,,lundi,08:00,18:00,
Mixte,SAINT AY,"parking de la salle françois villon, rue de la métairie",47.860809,1.753904,,vendredi,16:00,19:00,
Alimentaires,SAINT AY,Place de la Mairie,47.858286,1.753701,,vendredi,16:00,19:00,
Mixte,SAINT CYR EN VAL,Place de l'Eglise,47.831628,1.968793,,dimanche,08:00,13:00,
Alimentaires,SAINT DENIS DE L'HOTEL,Avenue de la Tete Verte,47.870607,2.128926,,samedi,09:00,12:00,
Mixte,SAINT DENIS EN VAL,Place de l'Eglise,47.878768,1.956054,,dimanche,07:00,13:00,
Mixte,SAINT JEAN DE BRAYE,Place de la Planche de Pierre,47.911656,1.969435,,dimanche,08:00,13:00,
Mixte,SAINT JEAN DE LA RUELLE,Rue des Dix Arpents,47.908309,1.873987,,mercredi,07:30,13:00,
Mixte,SAINT JEAN DE LA RUELLE,Place des Tourmalines,47.921859,1.878848,,vendredi,12:00,19:00,
Alimentaires,SAINT JEAN DE LA RUELLE,Centre commercial des Chaises,47.922846 ,1.878249,,lundi,08:30,12:30,
Mixte,SAINT JEAN LE BLANC,rue de l'Ile de Corse,47.894746,1.924264,,samedi,08:00,12:00,
Mixte,SAINT JEAN LE BLANC,rue de l'Ile de Corse,47.894746,1.924264,,dimanche,08:00,13:00,
Mixte,SAINT PRYVE SAINT MESMIN,Place Clovis,47.879630,1.870442,,samedi,08:00,13:00,
Mixte,SANDILLON,Place du 8 mai 1945,47.844991,2.033372,,dimanche,08:00,12:30,
Mixte,SARAN,à l'angle de la rue du Bourg et de la rue de Fontaine,47.950988,1.876861,http://www.ville-saran.fr/marches,mercredi,07:30,13:00, à l'angle de la rue du Bourg et de la rue de Fontaine.
Mixte,SULLY SUR LOIRE,place de gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,lundi,08:00,18:00,Il a lieu tous les lundis de 9h à 13h et toute la journée les jours fériés sur les boulevards et Place de Gaulle.
Mixte,SULLY SUR LOIRE,place de gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,jours fériés,09:00,18:00,Il a lieu tous les lundis de 9h à 13h et toute la journée les jours fériés sur les boulevards et Place de Gaulle.
Mixte,SULLY SUR LOIRE,place de Gaulle,47.765204,2.375130,http://www.sully-sur-loire.fr/pratique/le-marche,un dimanche par mois de avril à octobre,09:00,12:30,"Le marché des saveurs se tient Place de Gaulle, uniquement le matin, de 9h à 12h30, sur la période de avril à octobre, à raison d’un dimanche par mois."
Mixte,Tigy,Chemin de Saint-Ilgen,47.794107,2.198887,,samedi,08:00,13:00,
Mixte,TRAINOU,Place Léon Pierrot,47.975361,2.103301,,vendredi,07:30,12:00,
Alimentaires,VITRY AUX LOGES,Place de la République,47.938497,2.266714,,mercredi,09:00,12:00,
Mixte,YEVRE LE CHATEL,place du bourg,48.160081,2.335079,,dimanche,07:00,13:00,
